DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm_Cd1,Crm_Cd2,Crm_Cd3,Crm_Cd4,LOCATION,Cross Street,LAT,LON
191713601,8/1/2019 0:00,7/29/2019 0:00,1200,17,Devonshire,1737,2,354,THEFT OF IDENTITY,1822 0928,43,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16400    CHATSWORTH                   ST,,34.2703,-118.4959
191821455,10/14/2019 0:00,10/13/2019 0:00,2200,18,Southeast,1841,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,500 W  108TH                        ST,,33.9383,-118.2826
190117525,7/3/2019 0:00,7/3/2019 0:00,720,1,Central,153,2,762,LEWD CONDUCT,2004 0910 0506,39,M,H,917,MTA - PURPLE LINE - PERSHING SQUARE,,,IC,Invest Cont,762,,,,500 S  HILL                         ST,,34.0488,-118.2518
191509779,4/21/2019 0:00,4/21/2019 0:00,730,15,N Hollywood,1513,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0408 2000 1202 1813,73,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,6700    RHODES                       AV,,34.1925,-118.403
191505856,2/4/2019 0:00,2/4/2019 0:00,1600,15,N Hollywood,1595,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202,83,F,W,402,MARKET,,,IC,Invest Cont,440,,,,11900    VENTURA                      BL,,34.1427,-118.3908
190610095,4/15/2019 0:00,3/31/2019 0:00,1935,6,Hollywood,637,1,310,BURGLARY,0344 0352 1601 1605 1300 1309,34,F,B,221,PUBLIC STORAGE,,,AA,Adult Arrest,310,,,,1800    VINE                         ST,,34.1038,-118.3267
191500896,5/31/2019 0:00,5/29/2019 0:00,1500,15,N Hollywood,1545,1,310,BURGLARY,2043 0321 1414 1607 1609 0344,39,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5400    GENTRY                       AV,,34.1687,-118.3932
192104747,1/17/2019 0:00,1/17/2019 0:00,1815,21,Topanga,2197,1,310,BURGLARY,1601 0321 0344 1202,74,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,5000    ARUNDEL                      DR,,34.1618,-118.5633
191708658,4/12/2019 0:00,4/9/2019 0:00,1500,17,Devonshire,1793,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0360 1258 1251 2021,12,M,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,627,,,,19000    BRYANT                       ST,,34.2272,-118.5471
191407389,2/25/2019 0:00,1/13/2019 0:00,950,14,Pacific,1495,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1237 0325 1300,28,M,H,203,OTHER BUSINESS,,,AO,Adult Other,668,,,,9200    AIRPORT                      BL,,33.9523,-118.3906
191913100,7/9/2019 0:00,7/9/2019 0:00,2032,19,Mission,1912,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,13700    HERRICK                      AV,,34.3199,-118.4733
191018408,12/2/2019 0:00,12/2/2019 0:00,730,10,West Valley,1024,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1259 0416 0553,17,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,,,,18600    GAULT                        ST,,34.1992,-118.5386
190309242,3/21/2019 0:00,3/20/2019 0:00,2000,3,Southwest,336,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1606 0344,40,F,W,104,DRIVEWAY,,,IC,Invest Cont,420,,,,2100 W  29TH                         PL,,34.0283,-118.312
190415241,10/1/2019 0:00,10/1/2019 0:00,2300,4,Hollenbeck,415,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913,50,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,ALTURA,JOHNSTON,34.0755,-118.2104
190321871,10/1/2019 0:00,9/30/2019 0:00,1130,3,Southwest,338,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1309 0334 0445 0913,37,M,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,1400 W  30TH                         ST,,34.0272,-118.2948
190401112,8/11/2019 0:00,8/11/2019 0:00,1645,4,Hollenbeck,437,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0416,52,M,H,109,PARK/PLAYGROUND,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,998,,,KLAMATH,EASTERN,34.0748,-118.1802
190409398,5/4/2019 0:00,5/3/2019 0:00,1600,4,Hollenbeck,402,1,310,BURGLARY,344,55,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,600    MONTECITO                    DR,,34.0932,-118.1994
190509983,5/16/2019 0:00,5/16/2019 0:00,830,5,Harbor,508,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0421 0432 0561 0913 1242,51,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,230,,,,23200 S  WESTERN                      AV,,33.8148,-118.3089
190209978,4/20/2019 0:00,4/19/2019 0:00,1300,2,Rampart,245,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,CORONADO                     ST,OCEAN VIEW                   AV,34.0626,-118.28
190912486,6/18/2019 0:00,6/17/2019 0:00,2235,9,Van Nuys,911,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 0416,30,M,H,108,PARKING LOT,304,CLUB/BAT,IC,Invest Cont,230,,,,7100    SEPULVEDA                    BL,,34.1938,-118.4702
190623011,11/29/2019 0:00,11/29/2019 0:00,916,6,Hollywood,659,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0913,55,M,H,101,STREET,102,HAND GUN,AO,Adult Other,230,,,,1300 N  HARVARD                      BL,,34.0951,-118.3043
190711240,5/27/2019 0:00,5/23/2019 0:00,2000,7,Wilshire,785,2,354,THEFT OF IDENTITY,0929 1822,48,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1900    PALM GROVE                   AV,,34.0399,-118.3414
191106647,2/23/2019 0:00,2/23/2019 0:00,1000,11,Northeast,1101,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108,PARKING LOT,,,IC,Invest Cont,420,,,,4700    CRYSTAL SPRINGS              DR,,34.1516,-118.2859
191012185,7/13/2019 0:00,7/13/2019 0:00,200,10,West Valley,1011,1,210,ROBBERY,1822 0302 0305 0316 0345 0371 0432 0906,43,M,H,104,DRIVEWAY,101,REVOLVER,IC,Invest Cont,210,,,,SATICOY                      ST,TAMPA                        AV,34.2084,-118.5535
191017619,11/13/2019 0:00,11/13/2019 0:00,300,10,West Valley,1043,1,210,ROBBERY,0312 0352 0355 0356 0416 0432 0443 1817 0910,29,M,H,124,BUS STOP,102,HAND GUN,AO,Adult Other,210,,,,OXNARD,RESEDA,34.18,-118.536
190805951,2/14/2019 0:00,2/13/2019 0:00,900,8,West LA,849,1,320,"BURGLARY, ATTEMPTED",1609 0358 1210 1607 1822,50,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,320,,,,800 S  SHENANDOAH                   ST,,34.063,-118.3813
191119261,11/6/2019 0:00,11/5/2019 0:00,2200,11,Northeast,1115,1,330,BURGLARY FROM VEHICLE,1608 0344,51,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,5000    SHEARIN                      AV,,34.1376,-118.2105
190220499,10/18/2019 0:00,10/18/2019 0:00,800,2,Rampart,212,2,900,VIOLATION OF COURT ORDER,2038 2000,24,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,900,,,,300 N  VERMONT                      AV,,34.0763,-118.2917
191514826,7/28/2019 0:00,7/28/2019 0:00,1200,15,N Hollywood,1589,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),344,44,F,W,141,CEMETARY*,,,IC,Invest Cont,331,,,,FOREST LAWN,FOREST LAWN,34.1502,-118.3281
192010143,5/3/2019 0:00,5/2/2019 0:00,2030,20,Olympic,2025,1,330,BURGLARY FROM VEHICLE,1609 1307 0358 0344,38,F,H,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,400 S  NORMANDIE                    AV,,34.0672,-118.3004
191324252,12/21/2019 0:00,12/1/2019 0:00,1500,13,Newton,1375,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,32,F,H,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440,,,,1100 E  55TH                         ST,,33.993,-118.2565
191119324,11/10/2019 0:00,11/10/2019 0:00,1415,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,1609 1608 0344,57,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,GRIFFITH PARK                DR,CAMP                         RD,34.1374,-118.2941
190124752,10/7/2019 0:00,10/7/2019 0:00,1112,1,Central,158,1,761,BRANDISH WEAPON,1822 0334 0910,58,M,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,,1200 E  7TH                          ST,,34.0395,-118.2405
190811526,6/21/2019 0:00,6/21/2019 0:00,1048,8,West LA,852,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2029 0329 0319 1822,32,M,W,102,SIDEWALK,,,IC,Invest Cont,745,,,,SANTA MONICA                 BL,BARRINGTON                   ST,34.0438,-118.456
190512215,7/4/2019 0:00,7/4/2019 0:00,2155,5,Harbor,528,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2024 0329 1402,0,X,X,704,ELEMENTARY SCHOOL,,,JO,Juv Other,745,998,,,1100    MAHAR                        AV,,33.7853,-118.2464
191421190,10/1/2019 0:00,9/13/2019 0:00,900,14,Pacific,1473,1,310,BURGLARY,344,35,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,8200    CALABAR                      AV,,33.9609,-118.4398
191119636,11/18/2019 0:00,11/17/2019 0:00,2300,11,Northeast,1173,1,330,BURGLARY FROM VEHICLE,1307 0358 0344 1822,31,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,2000    PRESTON                      AV,,34.0882,-118.2513
191117561,10/4/2019 0:00,8/29/2019 0:00,1000,11,Northeast,1177,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,2600    MACEO                        ST,,34.0915,-118.2281
191200561,3/6/2019 0:00,3/6/2019 0:00,40,12,77th Street,1241,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0562 0602 0421 0369 1310 2003 0445,52,M,H,101,STREET,205,KITCHEN KNIFE,AA,Adult Arrest,230,,,,3500    HYDE PARK                    BL,,33.9806,-118.3338
191223098,9/20/2019 0:00,9/19/2019 0:00,2200,12,77th Street,1211,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2300 W  54TH                         ST,,33.9932,-118.3182
191618186,12/30/2019 0:00,12/30/2019 0:00,1415,16,Foothill,1659,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0448,24,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6600    DAY                          ST,,34.2529,-118.2757
191820936,10/5/2019 0:00,10/4/2019 0:00,1600,18,Southeast,1834,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,31,M,H,101,STREET,,,IC,Invest Cont,740,,,,400 E  105TH                        ST,,33.941,-118.2673
190214860,7/16/2019 0:00,7/16/2019 0:00,200,2,Rampart,257,1,220,ATTEMPTED ROBBERY,2004 1218 1822 0337 0416 0445 0376 1202,60,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,UNION,WILSHIRE,34.0547,-118.2707
191514100,7/10/2019 0:00,7/9/2019 0:00,2145,15,N Hollywood,1511,1,320,"BURGLARY, ATTEMPTED",1607,31,M,A,406,OTHER STORE,,,IC,Invest Cont,320,,,,13000    SHERMAN                      WY,,34.2037,-118.421
191506967,2/25/2019 0:00,2/25/2019 0:00,1220,15,N Hollywood,1548,2,903,CONTEMPT OF COURT,603,57,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,903,,,,5300    SATSUMA                      AV,,34.1676,-118.3675
190804781,1/19/2019 0:00,1/19/2019 0:00,901,8,West LA,842,2,354,THEFT OF IDENTITY,0100 0922 0929 1822,50,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11400    ROCHESTER                    AV,,34.0486,-118.4539
191114961,8/11/2019 0:00,8/11/2019 0:00,1900,11,Northeast,1172,2,900,VIOLATION OF COURT ORDER,1213 2038,43,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,900,,,,2000    ROCKFORD                     RD,,34.0937,-118.2629
191019517,12/28/2019 0:00,12/28/2019 0:00,800,10,West Valley,1029,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",325,0,M,W,248,CELL PHONE STORE,,,IC,Invest Cont,341,,,,7100    HASKELL                      AV,,34.1994,-118.4749
191018357,11/30/2019 0:00,11/29/2019 0:00,2100,10,West Valley,1065,1,330,BURGLARY FROM VEHICLE,344,61,F,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,5400    NEWCASTLE                    AV,,34.1687,-118.5244
190410211,5/23/2019 0:00,5/17/2019 0:00,1630,4,Hollenbeck,499,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,443,61,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,3500    BESWICK                      ST,,34.0228,-118.2009
190120467,8/8/2019 0:00,8/6/2019 0:00,1200,1,Central,122,2,901,VIOLATION OF RESTRAINING ORDER,,34,F,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AO,Adult Other,901,,,,100 N  HILL                         ST,,34.0572,-118.2481
191824466,12/7/2019 0:00,12/6/2019 0:00,2230,18,Southeast,1861,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,800 W  115TH                        ST,,33.9301,-118.2893
190918570,10/19/2019 0:00,10/19/2019 0:00,640,9,Van Nuys,985,1,510,VEHICLE - STOLEN,,0,,,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,510,,,,14000    MOORPARK                     ST,,34.1504,-118.4378
191309579,4/10/2019 0:00,4/6/2019 0:00,800,13,Newton,1385,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0345,0,M,O,204,MANUFACTURING COMPANY,,,IC,Invest Cont,341,,,,5800    TOWNE                        AV,,33.9877,-118.2675
191213905,5/17/2019 0:00,5/17/2019 0:00,1910,12,77th Street,1245,2,624,BATTERY - SIMPLE ASSAULT,0602 0360 0444 0448 0416 0446 0419 0559 1276 2024,44,F,B,121,YARD (RESIDENTIAL/BUSINESS),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1200 W  69TH                         ST,,33.977,-118.2959
190920336,11/24/2019 0:00,11/24/2019 0:00,1000,9,Van Nuys,985,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,MOORPARK,MURIETTA,34.1504,-118.4383
190114640,5/27/2019 0:00,5/27/2019 0:00,1900,1,Central,157,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202 1266,75,M,B,102,SIDEWALK,,,IC,Invest Cont,341,,,,5TH                          ST,SAN PEDRO                    ST,34.0435,-118.2427
191500981,7/6/2019 0:00,7/4/2019 0:00,1000,15,N Hollywood,1591,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1812 2004 0416 0417 1813 2000,36,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,12200    VIEWCREST                    RD,,34.1381,-118.3987
191915588,8/27/2019 0:00,8/27/2019 0:00,1100,19,Mission,1966,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,VAN NUYS                     BL,TUPPER                       ST,34.2391,-118.4502
191118201,10/16/2019 0:00,10/14/2019 0:00,2030,11,Northeast,1171,1,330,BURGLARY FROM VEHICLE,1609 1307 0329 0344,36,F,W,101,STREET,,,IC,Invest Cont,330,,,,3500 W  SUNSET                       BL,,34.0917,-118.2741
190807233,3/15/2019 0:00,3/15/2019 0:00,830,8,West LA,847,1,320,"BURGLARY, ATTEMPTED",1251 1607,27,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,320,,,,2200 S  BEVERLY GLEN                 BL,,34.0504,-118.4206
191413224,5/21/2019 0:00,5/21/2019 0:00,1800,14,Pacific,1489,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,64,M,H,212,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,740,,,,CENTURY                      BL,AVIATION                     BL,33.9455,-118.3785
191825490,12/22/2019 0:00,12/22/2019 0:00,2120,18,Southeast,1803,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1251 0913 0416 1259,10,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,,,,200 E  87TH                         PL,,33.9581,-118.2717
191412981,5/27/2019 0:00,5/26/2019 0:00,1100,14,Pacific,1466,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1608,0,X,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,7300    EL MANOR                     AV,,33.9763,-118.3991
191521650,12/8/2019 0:00,12/8/2019 0:00,30,15,N Hollywood,1517,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1300 0605 0385,35,F,H,101,STREET,,,IC,Invest Cont,331,,,,VANOWEN,VINELAND,34.194,-118.3703
191705539,1/23/2019 0:00,1/23/2019 0:00,1736,17,Devonshire,1764,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0378,0,X,X,406,OTHER STORE,,,IC,Invest Cont,343,,,,9300    TAMPA                        AV,,34.244,-118.5583
191215422,6/5/2019 0:00,5/14/2019 0:00,1200,12,77th Street,1245,2,662,"BUNCO, GRAND THEFT",701,48,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,1300 W  68TH                         ST,,33.9778,-118.2981
190116112,6/15/2019 0:00,6/15/2019 0:00,1,1,Central,127,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,46,M,B,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,740,,,,200 N  LOS ANGELES                  ST,,34.0525,-118.2416
190409394,5/3/2019 0:00,5/3/2019 0:00,2045,4,Hollenbeck,407,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,0,M,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,3500    MONTEREY                     RD,,34.0862,-118.1875
191815427,7/6/2019 0:00,7/6/2019 0:00,1100,18,Southeast,1839,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 0416,26,F,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626,,,,2200 E  107TH                        ST,,33.9389,-118.2325
190409694,5/10/2019 0:00,5/10/2019 0:00,1745,4,Hollenbeck,491,1,210,ROBBERY,325,0,M,X,404,DEPARTMENT STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,2600 E  OLYMPIC                      BL,,34.0253,-118.2224
190322802,10/16/2019 0:00,10/16/2019 0:00,1515,3,Southwest,395,2,624,BATTERY - SIMPLE ASSAULT,1815 2024 0400,56,F,B,723,PRIVATE SCHOOL/PRESCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,4200 S  WESTERN                      AV,,34.0073,-118.3089
190708748,4/6/2019 0:00,4/6/2019 0:00,730,7,Wilshire,735,1,210,ROBBERY,0945 0400 0344 0325 0444 2004 0104,0,M,O,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,5600    WILSHIRE                     BL,,34.0633,-118.3473
191716696,10/13/2019 0:00,10/13/2019 0:00,1608,17,Devonshire,1788,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,8900    BALBOA                       BL,,34.2322,-118.5113
191217252,7/1/2019 0:00,6/30/2019 0:00,1900,12,77th Street,1267,1,210,ROBBERY,0344 0342 0371 0355,26,M,B,202,LIQUOR STORE,113,SIMULATED GUN,IC,Invest Cont,210,,,,8500 S  FIGUEROA                     ST,,33.9611,-118.2827
190814654,8/24/2019 0:00,8/24/2019 0:00,1506,8,West LA,833,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0342 0104 0378 0344 0325 1822,0,X,X,403,DRUG STORE,,,IC,Invest Cont,341,,,,10800    WELLWORTH                    AV,,34.058,-118.439
190817242,10/20/2019 0:00,10/20/2019 0:00,10,8,West LA,834,1,310,BURGLARY,1602 1822 0397 0321 0344 1609,29,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,10500    SANTA MONICA                 BL,,34.0513,-118.4335
191918454,10/25/2019 0:00,10/21/2019 0:00,1215,19,Mission,1944,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2021,52,F,O,301,GAS STATION,,,IC,Invest Cont,440,,,,11200    LAUREL CANYON                BL,,34.2735,-118.4478
191824091,11/30/2019 0:00,11/30/2019 0:00,1600,18,Southeast,1849,1,210,ROBBERY,0605 1309 1310 0400 0337 0344 0390,36,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,IMPERIAL,WILMINGTON,33.9294,-118.2391
190306021,1/31/2019 0:00,1/30/2019 0:00,830,3,Southwest,358,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1251 2032,18,M,W,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,440,,,,800    BLOOM WALK,,34.0215,-118.2868
190516539,10/5/2019 0:00,10/5/2019 0:00,500,5,Harbor,529,1,310,BURGLARY,0342 0358 0397,73,X,X,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,1500    ANCHORAGE                    RD,,33.7667,-118.2431
190705062,1/23/2019 0:00,1/23/2019 0:00,1615,7,Wilshire,765,1,440,THEFT PLAIN - PETTY ($950 & UNDER),,38,F,H,101,STREET,,,IC,Invest Cont,440,,,,4800    VENICE                       BL,,34.0496,-118.3425
191911686,6/11/2019 0:00,6/11/2019 0:00,40,19,Mission,1984,1,210,ROBBERY,2000 1813 0401,33,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,8400    WILLIS                       AV,,34.2231,-118.4553
190106846,2/12/2019 0:00,2/11/2019 0:00,2310,1,Central,155,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1211 1300 0329 2003,0,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,200 E  6TH                          ST,,34.0448,-118.2474
190104360,1/4/2019 0:00,1/1/2019 0:00,2330,1,Central,152,2,624,BATTERY - SIMPLE ASSAULT,1601 0416,24,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,500 S  HILL                         ST,,34.0491,-118.2558
191120597,12/9/2019 0:00,11/29/2019 0:00,1445,11,Northeast,1143,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0395,41,F,O,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,2900    SAINT GEORGE                 ST,,34.1097,-118.2739
191919084,11/11/2019 0:00,10/20/2019 0:00,2000,19,Mission,1909,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,13800    WALLABI                      AV,,34.3243,-118.405
191425556,12/15/2019 0:00,12/15/2019 0:00,240,14,Pacific,1407,2,625,OTHER ASSAULT,0447 0400 0319,24,M,O,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625,,,,10300    VENICE                       BL,,34.0212,-118.4025
190805539,2/5/2019 0:00,2/3/2019 0:00,1500,8,West LA,882,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1900    BELOIT                       AV,,34.0431,-118.444
191206147,2/1/2019 0:00,2/1/2019 0:00,2000,12,77th Street,1283,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0553 2002 0431,0,M,B,501,SINGLE FAMILY DWELLING,512,MACE/PEPPER SPRAY,IC,Invest Cont,236,,,,9400    DENKER                       AV,,33.9512,-118.3046
190623834,12/15/2019 0:00,12/15/2019 0:00,2310,6,Hollywood,645,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0421 0432 2004,33,F,W,102,SIDEWALK,511,VERBAL THREAT,AO,Adult Other,930,,,,6800    HOLLYWOOD                    BL,,34.1016,-118.3387
190320883,9/17/2019 0:00,9/16/2019 0:00,1830,3,Southwest,397,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1100 W  40TH                         PL,,34.0099,-118.2941
190622956,11/27/2019 0:00,11/27/2019 0:00,1230,6,Hollywood,646,1,761,BRANDISH WEAPON,334,26,F,W,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,761,,,,1500    VINE                         ST,,34.0987,-118.3337
191814694,6/22/2019 0:00,6/22/2019 0:00,2100,18,Southeast,1863,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0416 1218,53,F,B,101,STREET,307,VEHICLE,IC,Invest Cont,230,,,,IMPERIAL                     HY,AVALON                       BL,33.931,-118.2652
